,Scientific name,Common name,TypeLocality
0, ,,
1, ,,
2,Tachyglossus ,,
3,Tachyglossus aculeatus,Short-beaked Echidna,"Australia, New South Wales, New Holland (= Sydney)."
4,Tachyglossus aculeatus,,"Australia, New South Wales, New Holland (= Sydney)."
5,Tachyglossus aculeatus,,
6,Tachyglossus aculeatus,,
7,Tachyglossus aculeatus,,
8,Tachyglossus aculeatus,,
9,Zaglossus ,,
10,Zaglossus attenboroughi,Sir David’s Long-beaked Echidna.,"Indonesia, Prov. of Papua (= Irian Jaya), Cyclops Mtns, ""Oost-top, Berg Rara, 1600 m""."
11,Zaglossus bartoni,Eastern Long-beaked Echidna,"Papua New Guinea, Albert Edward Range, Mount Victoria, 8,000 ft (2438 m)."
12,Zaglossus bartoni,,"Papua New Guinea, Albert Edward Range, Mount Victoria, 8,000 ft (2438 m)."
13,Zaglossus bartoni,,
14,Zaglossus bartoni,,
15,Zaglossus bartoni,,
16,Zaglossus bruijni,Western Long-beaked Echidna.,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns."
17, ,,
18,Ornithorhynchus ,,
19,Ornithorhynchus anatinus,,"Australia, New South Wales, New Holland (= Sydney)."
20, ,,
21, ,,
22, ,,
23,Caluromys ,,
24,Caluromys ,,
25,Caluromys ,,
26,Caluromys derbianus,Derby’s Woolly Opossum,"None given; restricted to Colombia, Cauca, Cauca Valley (Cabrera, 1958:2)."
27,Caluromys derbianus,,"None given; restricted to Colombia, Cauca, Cauca Valley (Cabrera, 1958:2)."
28,Caluromys derbianus,,
29,Caluromys derbianus,,
30,Caluromys derbianus,,
31,Caluromys derbianus,,
32,Caluromys derbianus,,
33,Caluromys lanatus,Brown-eared Woolly Opossum,"""Paraguay;"" restricted to Caazapá, Caazapá (Cabrera, 1916)."
34,Caluromys lanatus,,"""Paraguay;"" restricted to Caazapá, Caazapá (Cabrera, 1916)."
35,Caluromys lanatus,,
36,Caluromys lanatus,,
37,Caluromys lanatus,,
38,Caluromys lanatus,,
39,Caluromys lanatus,,
40,Caluromys philander,Bare-tailed Woolly Opossum,"""America;"" restricted to Surinam (Thomas, 1911<i>a</i>)."
41,Caluromys philander,,"""America;"" restricted to Surinam (Thomas, 1911<i>a</i>)."
42,Caluromys philander,,
43,Caluromys philander,,
44,Caluromys philander,,
45,Caluromysiops ,,
46,Caluromysiops irrupta,Black-shouldered Opossum,"Perú, Cuzco, ""Quincemil, Province of Quispicanchis."""
47,Glironia ,,
48,Glironia venusta,Bushy-tailed Opossum,"Perú, Pasco, ""Pozuzo."""
49, ,,
50,Chironectes ,,
51,Chironectes minimus,Water Opossum,"""Gujana;"" restricted to Cayenne, French Guiana (Cabrera, 1958:44)."
52,Chironectes minimus,,"""Gujana;"" restricted to Cayenne, French Guiana (Cabrera, 1958:44)."
53,Chironectes minimus,,
54,Chironectes minimus,,
55,Chironectes minimus,,
56,Didelphis ,,
57,Didelphis albiventris,White-eared Opossum,"Brazil, Minas Gerais, ""Rio das Velhas,"" Lagoa Santa."
58,Didelphis aurita,Big-eared Opossum,"Brazil, Bahia, ""Villa Viçosa am Flusse Paruhype."""
59,Didelphis imperfecta,Guianan White-eared Opossum,"Venezuela, Bolívar, ""km 125, Carretera El Dorado-Santa Elena."""
60,Didelphis marsupialis,Common Opossum,"""America;"" restricted to Surinam (Thomas, 1911<i>a</i>)."
61,Didelphis marsupialis,,"""America;"" restricted to Surinam (Thomas, 1911<i>a</i>)."
62,Didelphis marsupialis,,
63,Didelphis pernigra,Andean White-eared Opossum,"Perú, Puno, ""Juliaca;"" corrected to ""Inca Mines"" (= Santo Domingo) by J. A. Allen (1901).Andes of Colombia, Venezuela, Ecuador, Perú, and Bolivia."
64,Didelphis virginiana,Virginia Opossum,"""Virginia, Louisiana, Mexico, Brasil, and Peru;"" restricted to Virginia (J. A. Allen, 1901:160<i>c</i>)."
65,Didelphis virginiana,,"""Virginia, Louisiana, Mexico, Brasil, and Peru;"" restricted to Virginia (J. A. Allen, 1901:160<i>c</i>)."
66,Didelphis virginiana,,
67,Didelphis virginiana,,
68,Didelphis virginiana,,
69,Gracilinanus ,,
70,Gracilinanus aceramarcae,Aceramarca Gracile Opossum,"Bolivia, La Paz, ""Rio Aceramarca, tributary of Rio Unduavi, Yungas."""
71,Gracilinanus agilis,Agile Gracile Opossum,"Brazil, Minas Gerais, ""Lagoa Santa."""
72,Gracilinanus agricolai,Agricola’s Gracile Opossum,"Brazil, Ceará, ""Crato."""
73,Gracilinanus dryas,Wood Sprite Gracile Opossum,"Venezuela, Mérida, ""Culata."""
74,Gracilinanus emiliae,Emilia’s Gracile Opossum,"Brazil, ""Para."""
75,Gracilinanus formosus,Pygmy Opossum,"Argentina, Formosa, ""Riacho Pilago, 10 miles [16 km] northwest of Kilometro 182."
76,Gracilinanus ignitus,Red-bellied Gracile Opossum,"Argentina, Jujuy, ""Yuto."""
77,Gracilinanus marica,Northern Gracile Opossum,"Venezuela, Mérida, ""R. Albarregas."""
78,Gracilinanus microtarsus,Brazilian Gracile Opossum,"Brazil, Săo Paulo, ""Ypanema."""
79,Gracilinanus microtarsus,,"Brazil, Săo Paulo, ""Ypanema."""
80,Gracilinanus microtarsus,,
81,Hyladelphys ,,
82,Hyladelphys kalinowskii,Kalinowski’s Mouse Opossum,"Perú, Cuzco, ""Hacienda Cadena, Marcapata."""
83,Lestodelphys ,,
84,Lestodelphys halli,Patagonian Opossum,"Argentina, Santa Cruz, ""Cabo Tres Puntas;"" subsequently emended to ""Estancia Madujada [= Estancia La Madrugada], not far from Puerto Deseado"" (Thomas, 1929:45)."
85,Lutreolina ,,
86,Lutreolina crassicaudata,Lutrine Opossum,"Paraguay, Asunción, by subsequent restriction (Cabrera, 1958:39)."
87,Lutreolina crassicaudata,,"Paraguay, Asunción, by subsequent restriction (Cabrera, 1958:39)."
88,Lutreolina crassicaudata,,
89,Marmosa ,,
90,Marmosa andersoni,Heavy-browed Mouse Opossum,"Perú, Cuzco, ""Hda. Villa Carmen, Cosńipata."""
91,Marmosa lepida,Rufous Mouse Opossum,"""Peruvian Amazons;"" identiﬁed as Perú, Loreto, Santa Cruz, Huallaga River, by Thomas (1888<i>a</i>:348)."
92,Marmosa mexicana,Mexican Mouse Opossum,"México, Oaxaca, ""Juquila."""
93,Marmosa mexicana,,"México, Oaxaca, ""Juquila."""
94,Marmosa mexicana,,
95,Marmosa mexicana,,
96,Marmosa murina,Linnaeus’s Mouse Opossum,"""Asia, America;"" restricted to Surinam by Thomas (1911<i>a</i>)."
97,Marmosa quichua,Quechuan Mouse Opossum,"""Ocabamba"" identiﬁed as Valle de Occobamba by Ceballos Bendezu (1981), Cuzco, Perú.E Perú."
98,Marmosa robinsoni,Robinson’s Mouse Opossum,"Venezuela, Nueva Esparta, ""Margarita Island."""
99,Marmosa robinsoni,,"Venezuela, Nueva Esparta, ""Margarita Island."""
100,Marmosa robinsoni,,
101,Marmosa robinsoni,,
102,Marmosa robinsoni,,
103,Marmosa robinsoni,,
104,Marmosa robinsoni,,
105,Marmosa robinsoni,,
106,Marmosa robinsoni,,
107,Marmosa rubra,Red Mouse Opossum,"Perú, Loreto, ""mouth of Rio Curaray."""
108,Marmosa tyleriana,Tyleria Mouse Opossum,"Venezuela, Amazonas, ""Central Camp, Mt. Duida Plateau, Upper Rio Orinoco."""
109,Marmosa xerophila,Guajira Mouse Opossum,"Colombia, Guajira, ""La Isla, 15 m, near Cajoro, 37 km NNE Paraguaipoa."""
110,Marmosops ,,
111,Marmosops bishopi,Bishop’s Slender Opossum,"""264 km N (by road) Xavantina (locality is at 12°51'S, 51°46'W), Serra do Roncador, Mato Grosso, Brazil."""
112,Marmosops cracens,"Narrow-headed Slender Opossum Venezuela, Falcón, ""near La Pastora (11°12'N, 68°37'W), 150 m, 14 km ENE Mirimire.""",
113,Marmosops dorothea,Dorothys’ Slender opossum,"Bolivia, La Paz, ""Rio Solocame, 67°W., 16°S."""
114,Marmosops fuscatus,Dusky Slender Opossum,"Venezuela, Mérida, ""Rio Abbarregas [= Río Alvarregas]."""
115,Marmosops fuscatus,,"Venezuela, Mérida, ""Rio Abbarregas [= Río Alvarregas]."""
116,Marmosops fuscatus,,
117,Marmosops fuscatus,,
118,Marmosops handleyi,Handley’s Slender Opossum,"Colombia, Antioquia, ""9 km S Valdivia."""
119,Marmosops impavidus,Tschudi’s Slender Opossum,"""Der mittleren und tiefen Waldregion;"" interpreted by Cabrera (1958:16) as Perú, Junín, ""Montańa de Vitoc, cerca de Chanchamayo."""
120,Marmosops incanus,Gray Slender Opossum,"Brazil, Minas Gerais, ""Rio das Velhas,"" Lagoa Santa."
121,Marmosops invictus,Panama Slender Opossum,"Panamá, Darien, ""Cana."""
122,Marmosops juninensis,Junin Slender Opossum,"""Utcuyacu. Between Tarma and Chanchamayo,"" Junín, Perú."
123,Marmosops neblina,Neblina Slender Opossum,"Venezuela, Amazonas, ""Camp VII (00°50'40""N, 65°58'10""W), 1800 m, Cerro de la Neblina.""S Venezuela, E Ecuador, E Perú, and W Brazil (Patton et al., 2000)."
124,Marmosops noctivagus,White-bellied Slender Opossum,"""Der mittleren und tiefen Waldregion""; restricted by Tate (1933) to Perú, Junín, Montańa de Vitoc, near Chanchamayo, Río Perené drainage."
125,Marmosops parvidens,Delicate Slender Opossum,"Guyana, East Demerara-West Coast Berbice, ""Hyde Park, 30 miles [48 km] up the Demerara River."""
126,Marmosops paulensis,Brazilian Slender Opossum,"Brazil, ""Therezopolis, Rio de Janeiro, Săo Paulo [sic]."""
127,Marmosops pinheiroi,Pinheiro’s Slender Opossum,"Brazil, Amapá, ""Rio Amapari, Serra do Navio (0°59'N, 52°03'W)."""
128,FALSE Burmeister,,
129,FALSE É. Geoﬀroy,Brown Four-eyed Opossum,"French Guiana, ""Cayenne."""
130,FALSE É. Geoﬀroy,,"French Guiana, ""Cayenne."""
131,FALSE J. A. Allen,,
132,FALSE Thomas,,
133,FALSE Temminck,,
134,FALSE J. A. Allen,,
135,FALSE Lesson,,
136,FALSE J. A. Allen,Alston’s Mouse Opossum,"Costa Rica, Cartago, ""Tres Rios."""
137,FALSE Thomas,"White-bellied Woolly Mouse OpossumBrazil, Mato Grosso, ""Chapada.""",
138,FALSE Thomas,Woolly Mouse Opossum,"Guyana, East Demerara-West Coast Berbice, ""Comaccka, 80 miles [129 km] up Demerara River."""
139,FALSE Thomas,,"Guyana, East Demerara-West Coast Berbice, ""Comaccka, 80 miles [129 km] up Demerara River."""
140,FALSE Tate,,
141,FALSE Thomas,,
142,FALSE Tate,,
143,FALSE Tate,,
144,FALSE Tate,Tate’s Woolly Mouse Opossum,"Paraguay, Guairá, ""Villa Rica."""
145,FALSE Tate,,"Paraguay, Guairá, ""Villa Rica."""
146,FALSE Miranda-Ribeiro,,
147,FALSE (Thomas),Little Woolly Mouse Opossum,"Colombia, Narińo, ""San Pablo."""
148,FALSE Thomas,"Bare-tailed Woolly Mouse OpossumColombia, Cundinamarca, ""West Cundinamarca (Bogotá Region).""",
149,FALSE Thomas,,"Colombia, Cundinamarca, ""West Cundinamarca (Bogotá Region)."""
150,FALSE Thomas,,
151,FALSE Thomas,,
152,FALSE Burnett,"<i>Monodelphis brachyura</i> Burnett, 1830 (= <i>Didelphys brachyuros</i> Schreber, 1777, = <i>Didelphis brevicaudata</i> Erxleben, 1777) by subsequent designation (Matschie, 1916).",
153,FALSE Thomas,Sepia Short-tailed Opossum,"Colombia, ""W. Cundinamarca, in the low-lying hot regions."""
154,FALSE Müller,Northern Three-striped Opossum,"""Brasilien,"" restricted to Brazil, Pernambuco, Pernambuco, by Cabrera (1958:7)."
155,FALSE Erxleben,Northern Red-sided Opossum,"""In Americae australis silvis;"" restricted to Surinam by Matschie (1916)."
156,FALSE Wagner,Yellow-sided Opossum,"Uruguay, Maldonado, ""Maldonado am la Plata."""
157,FALSE Wagner,Gray Short-tailed Opossum,"Brazil, Mato Grosso, ""Cuyaba."""
158,FALSE Thomas,Emilia’s Short-tailed Opossum,"Brazil, Pará, ""Boim, R. Tapajoz."""
159,FALSE Wagner,Amazonian Red-sided Opossum,"Brazil, Rondônia, ""Mamoré."""
160,FALSE Thomas,Ihering’s Three-striped Opossum,"""Rio Grande do Sul;"" identiﬁed as Brazil, Rio Grande do Sul, Taquara, by Thomas (1888<i>a</i>)."
161,FALSE Pine,Pygmy Short-tailed Opossum,"Bolivia, Beni, ""La Granja, W bank of Río Itonamas, 4 k N Magdalena."""
162,FALSE Thomas,Marajó Short-tailed Opossum,"Brazil, Pará, ""Caldeirăo."""
163,FALSE Doutt,Osgood’s Short-tailed Opossum,"Bolivia, Cochabamba, ""Incachaca."""
164,FALSE Osgood,Hooded Red-sided Opossum,"""San Juan de Colon, State of Tachira, Venezuela."""
165,FALSE Thomas,Chestnut-striped Opossum,"Brazil, ""Bahia."""
166,FALSE Thomas,"Long-nosed Short-tailed Opossum ""Brazil;"" restricted to Rio de Janeiro, Therezôpolis, by Vieira (1949).",
167,FALSE Hensel,Southern Red-sided Opossum,"""Provinz Rio Grande do Sul;"" restricted to Brazil, Rio Grande do Sul, Taquara, by Cabrera (1958)."
168,FALSE Thomas,Southern Three-striped Opossum,"Brazil, Rio de Janeiro, ""Theresopolis, Organ Mtns."""
169,FALSE Miranda-Ribeiro,Red Three-striped Opossum,"Brazil, Goiás, Veadeiros (Ávila Pires, 1968)."
170,FALSE Wagner,One-striped Opossum,"Brazil, Săo Paulo, ""Ytarare"" (= Itararé)."
171,FALSE Brisson,"<i>Didelphis opossum</i> Linnaeus, 1758, by plenary action (Opinion 1894 of the International Commission on Zoological Nomenclature, 1998).",
172,FALSE Osgood,Anderson’s Four-eyed Opossum,"Perú, Loreto, ""Yurimaguas."""
173,FALSE Olfers,"Southeastern Four-eyed Opossum ""Südamerica;"" restricted to Bahia, Brasil, by J. A. Wagner (1843).",
174,FALSE Gardner and Patton,McIlhenny’s Four-eyed Opossum,"Perú, Ucayali, ""Balta (10°08'S, 17°13'W), Río Curanja, <u>ca</u>. 300 meters."""
175,FALSE Linnaeus,Gray Four-eyed Opossum,"""America;"" restricted to Surinam by J. A. Allen (1900) and further restricted to Paramaribo, Surinam, by Matschie (1916)."
176,FALSE Linnaeus,,"""America;"" restricted to Surinam by J. A. Allen (1900) and further restricted to Paramaribo, Surinam, by Matschie (1916)."
177,FALSE Osgood,,
178,FALSE J. A. Allen,,
179,FALSE Thomas,,
180,FALSE Gray,,
181,FALSE Thomas,"Cinderella Fat-tailed Mouse OpossumArgentina, ""Tucuman.""",
182,FALSE Waterhouse,"Elegant Fat-tailed Mouse Opossum Chile, Coquimbo, ""Valparaiso.""",
183,FALSE Petter,"Karimi’s Fat-tailed Mouse OpossumBrazil, Pernambuco, ""région d'Exu.""",
184,FALSE Olfers,"Paraguayan Fat-tailed Mouse Opossum""Sudamerica;"" restricted to Paraguay, Presidente Hayes, ""Tapoua"" (= Tapua); see comments.",
185,FALSE Thomas,"White-bellied Fat-tailed Mouse OpossumBolivia, Oruro, ""Challapata.""",
186,FALSE Desmarest,"Common Fat-tailed Mouse OpossumNot stated; restricted to Paraguay, Misiones, ""San Ignacio,"" by Tate (1933).",
187,FALSE Thomas,"Argentine Fat-tailed Mouse OpossumArgentina, Jujuy, ""Sunchal, 1200 m.""",
188,FALSE Handley,Tate’s Fat-tailed Mouse Opossum,"""Chasquitambo 9710 m, lat. 10°18'48"" S., long. 77°37'20"" W.), Ancash, Peru."""
189,FALSE Wagner,Dwarf Fat-tailed Mouse Opossum,"Brazil, Săo Paulo, ""Ypanema."""
190,FALSE Thomas,"Buﬀ-bellied Fat-tailed Mouse OpossumBolivia, Cochabamba, ""Paratani, W. of Cochabamba.""",
191,FALSE Voss and Jansa,,
192,FALSE J. A. Allen,Gray Mouse Opossum,"México, Oaxaca, ""Santo Domingo de Guzman, Isthmus of Tehuantepec."""
193,FALSE J. A. Allen,,"México, Oaxaca, ""Santo Domingo de Guzman, Isthmus of Tehuantepec."""
194,FALSE Osgood,,
195,FALSE Ameghino,,
196,FALSE Trouessart,,
197,FALSE Thomas,,
198,FALSE Anthony,Gray-bellied Caenolestid,"Ecuador, El Oro, ""El Chiral."""
199,FALSE Albuja and Patterson,Andean Caenolestid,"Ecuador, Morona-Santiago, ""Achupallas."""
200,FALSE Anthony,Northern Caenolestid,"Ecuador, Pichincha, ""Las Maquinas, Western Andes 7000 feet [2134 m] altitude, on trail from Aloag to Santo Domingo de los Colorados."""
201,FALSE Anthony,,"Ecuador, Pichincha, ""Las Maquinas, Western Andes 7000 feet [2134 m] altitude, on trail from Aloag to Santo Domingo de los Colorados."""
202,FALSE Bublitz,,
203,FALSE Tomes,Dusky Caenolestid,"""Ecuador."""
204,FALSE Tomes,,"""Ecuador."""
205,FALSE Bublitz,,
206,FALSE Thomas,,
207,FALSE Oehser,,
208,FALSE Thomas,Incan Caenolestid,"Perú, Cuzco, ""Torontoy."""
209,FALSE Osgood,,
210,FALSE Osgood,Long-nosed Caenolestid,"Chile, Biobio, ""mouth of Rio Inio, south end of Chiloé Island."""
211,FALSE Osgood,,"Chile, Biobio, ""mouth of Rio Inio, south end of Chiloé Island."""
212,FALSE Bublitz,,
213,FALSE Ameghino,,
214,FALSE Ameghino,,
215,FALSE Thomas,,
216,FALSE Thomas,Monito del Monte,"Chile, Biobio, ""Huite, N.E. Chiloe Island."""
217,"FALSE Kirsch, <i>in </i>Hunsaker",,
218,FALSE Ogilby,,
219,FALSE Stirling,,
220,FALSE Thomas,Northern Marsupial Mole,"Australia, Western Australia, Wollal (= Wallal), Ninety Mile Beach."
221,FALSE Stirling,Southern Marsupial Mole,"Australia, Northern Territory, Indracowrie, 100 mi. (161 km) from Charlotte Waters."
222,FALSE Gill,,
223,FALSE Bonaparte,,
224,FALSE Temminck,,
225,FALSE Harris,,"Australia, Tasmania."
226,FALSE Waterhouse,,
227,FALSE Waterhouse,,
228,FALSE Waterhouse,,"Australia, Western Australia, Mt. Kokeby, south of Beverley."
229,FALSE Waterhouse,,"Australia, Western Australia, Mt. Kokeby, south of Beverley."
230,FALSE Wood Jones,,
231,FALSE Goldfuss,,
232,FALSE Goldfuss,,
233,FALSE Goldfuss,,
234,FALSE Peters,,
235,FALSE Kreﬀt,,"Australia, South Australia, probably Lake Alexandrina."
236,FALSE Archer,,
237,FALSE Ride,Little Red Kaluta,"Australia, Western Australia, Woodstock Station (via Marble Bar), 21°35'S, 119°E."
238,FALSE Spencer,,
239,FALSE Spencer,,"Australia, Northern Territory, Charlotte Waters."
240,FALSE É. Geoﬀroy,,
241,FALSE Schlegel,New Guinean Quoll,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns, Sapoea. New Guinea, sea level to 3500 m, possibly Yapen Isl: see Flannery (1995<i>a</i>)."
242,FALSE Gould,,"Australia, New South Wales, Liverpool Plains."
243,FALSE Gould,,"Australia, Northern Territory, Port Essington."
244,FALSE Kerr,,"Australia, New South Wales, Port Jackson."
245,FALSE Van Dyck,,"Papua New Guinea, Trans-ﬂy Plains, Marehead, 8°41'S, 141°39'E."
246,FALSE Shaw,,"Australia, New South Wales, Sydney."
247,FALSE Gray,,
248,FALSE Müller,Three-striped Dasyure,"""Nieuw-Guinea, in de triton's baai (op 3°39'Z. breedte)"" = Indonesia, Prov. of Papua (= Irian Jaya), Fakfak Div., Lobo Dist., near Triton Bay, Mt. Lamantsjieri."
249,FALSE Gray,Wallace’s Dasyure,Aru Isl.
250,FALSE Stein,,
251,FALSE Jentink,Speckled Dasyure,"Indonesia, Prov. of Papua (= Irian Jaya), Djajawidjaja (= Jayawijaya) Division, Helwig Mtns, south of Mt. Wilhelmina, 2600 m."
252,FALSE Tate,,
253,FALSE Gray,Southern Dibbler,"Australia, SW Western Australia."
254,FALSE Matschie,,
255,FALSE Thomas,Red-bellied Marsupial Shrew,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns, Mori."
256,FALSE Peters and Doria,Narrow-striped Marsupial Shrew,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns, Hatam."
