,Scientific name,Common name,Location
0, ,,
1, ,,
2,Tachyglossus ,,
3,Tachyglossus aculeatus,Short-beaked Echidna,Australia
4,Tachyglossus aculeatus,,Australia
5,Tachyglossus aculeatus,,
6,Tachyglossus aculeatus,,
7,Tachyglossus aculeatus,,
8,Tachyglossus aculeatus,,
9,Zaglossus ,,
10,Zaglossus attenboroughi,Sir David’s Long-beaked Echidna.,Indonesia
11,Zaglossus bartoni,Eastern Long-beaked Echidna,Papua New Guinea
12,Zaglossus bartoni,,Papua New Guinea
13,Zaglossus bartoni,,
14,Zaglossus bartoni,,
15,Zaglossus bartoni,,
16,Zaglossus bruijni,Western Long-beaked Echidna.,Indonesia
17, ,,
18,Ornithorhynchus ,,
19,Ornithorhynchus anatinus,Platypus.,Australia
20, ,,
21, ,,
22, ,,
23,Caluromys ,,
24,Caluromys ,,
25,Caluromys ,,
26,Caluromys derbianus,Derby’s Woolly Opossum,None given; restricted to Colombia
27,Caluromys derbianus,,None given; restricted to Colombia
28,Caluromys derbianus,,
29,Caluromys derbianus,,
30,Caluromys derbianus,,
31,Caluromys derbianus,,
32,Caluromys derbianus,,
33,Caluromys lanatus,Brown-eared Woolly Opossum,"Paraguay;"" restricted to Caazapá"
34,Caluromys lanatus,,"Paraguay;"" restricted to Caazapá"
35,Caluromys lanatus,,
36,Caluromys lanatus,,
37,Caluromys lanatus,,
38,Caluromys lanatus,,
39,Caluromys lanatus,,
40,Caluromys philander,Bare-tailed Woolly Opossum,"America;"" restricted to Surinam (Thomas"
41,Caluromys philander,,"America;"" restricted to Surinam (Thomas"
42,Caluromys philander,,
43,Caluromys philander,,
44,Caluromys philander,,
45,Caluromysiops ,,
46,Caluromysiops irrupta,Black-shouldered Opossum,Perú
47,Glironia ,,
48,Glironia venusta,Bushy-tailed Opossum,Perú
49, ,,
50,Chironectes ,,
51,Chironectes minimus,Water Opossum,"Gujana;"" restricted to Cayenne"
52,Chironectes minimus,,"Gujana;"" restricted to Cayenne"
53,Chironectes minimus,,
54,Chironectes minimus,,
55,Chironectes minimus,,
56,Didelphis ,,
57,Didelphis albiventris,White-eared Opossum,Brazil
58,Didelphis aurita,Big-eared Opossum,Brazil
59,Didelphis imperfecta,Guianan White-eared Opossum,Venezuela
60,Didelphis marsupialis,Common Opossum,"America;"" restricted to Surinam (Thomas"
61,Didelphis marsupialis,,"America;"" restricted to Surinam (Thomas"
62,Didelphis marsupialis,,
63,Didelphis pernigra,Andean White-eared Opossum,Perú
64,Didelphis virginiana,Virginia Opossum,Virginia
65,Didelphis virginiana,,Virginia
66,Didelphis virginiana,,
67,Didelphis virginiana,,
68,Didelphis virginiana,,
69,Gracilinanus ,,
70,Gracilinanus aceramarcae,Aceramarca Gracile Opossum,Bolivia
71,Gracilinanus agilis,Agile Gracile Opossum,Brazil
72,Gracilinanus agricolai,Agricola’s Gracile Opossum,Brazil
73,Gracilinanus dryas,Wood Sprite Gracile Opossum,Venezuela
74,Gracilinanus emiliae,Emilia’s Gracile Opossum,Brazil
75,Gracilinanus formosus,Pygmy Opossum,Argentina
76,Gracilinanus ignitus,Red-bellied Gracile Opossum,Argentina
77,Gracilinanus marica,Northern Gracile Opossum,Venezuela
78,Gracilinanus microtarsus,Brazilian Gracile Opossum,Brazil
79,Gracilinanus microtarsus,,Brazil
80,Gracilinanus microtarsus,,
81,Hyladelphys ,,
82,Hyladelphys kalinowskii,Kalinowski’s Mouse Opossum,Perú
83,Lestodelphys ,,
84,Lestodelphys halli,Patagonian Opossum,
85,Lutreolina ,,
86,Lutreolina crassicaudata,Lutrine Opossum,Paraguay
87,Lutreolina crassicaudata,,Paraguay
88,Lutreolina crassicaudata,,
89,Marmosa ,,
90,Marmosa andersoni,Heavy-browed Mouse Opossum,Perú
91,Marmosa lepida,Rufous Mouse Opossum,"Peruvian Amazons;"" identiﬁed as Perú"
92,Marmosa mexicana,Mexican Mouse Opossum,México
93,Marmosa mexicana,,México
94,Marmosa mexicana,,
95,Marmosa mexicana,,
96,Marmosa murina,Linnaeus’s Mouse Opossum,Asia
97,Marmosa quichua,Quechuan Mouse Opossum,"Ocabamba"" identiﬁed as Valle de Occobamba by Ceballos Bendezu (1981)"
98,Marmosa robinsoni,Robinson’s Mouse Opossum,Venezuela
99,Marmosa robinsoni,,Venezuela
100,Marmosa robinsoni,,
101,Marmosa robinsoni,,
102,Marmosa robinsoni,,
103,Marmosa robinsoni,,
104,Marmosa robinsoni,,
105,Marmosa robinsoni,,
106,Marmosa robinsoni,,
107,Marmosa rubra,Red Mouse Opossum,Perú
108,Marmosa tyleriana,Tyleria Mouse Opossum,Venezuela
109,Marmosa xerophila,Guajira Mouse Opossum,Colombia
110,Marmosops ,,
111,Marmosops bishopi,Bishop’s Slender Opossum,264 km N (by road) Xavantina (locality is at 12°51'S
112,Marmosops cracens,Narrow-headed Slender Opossum,Venezuela
113,Marmosops dorothea,Dorothys’ Slender opossum,Bolivia
114,Marmosops fuscatus,Dusky Slender Opossum,Venezuela
115,Marmosops fuscatus,,Venezuela
116,Marmosops fuscatus,,
117,Marmosops fuscatus,,
118,Marmosops handleyi,Handley’s Slender Opossum,Colombia
119,Marmosops impavidus,Tschudi’s Slender Opossum,
120,Marmosops incanus,Gray Slender Opossum,Brazil
121,Marmosops invictus,Panama Slender Opossum,Panamá
122,Marmosops juninensis,Junin Slender Opossum,Utcuyacu. Between Tarma and Chanchamayo
123,Marmosops neblina,Neblina Slender Opossum,Venezuela
124,Marmosops noctivagus,White-bellied Slender Opossum,
125,Marmosops parvidens,Delicate Slender Opossum,Guyana
126,Marmosops paulensis,Brazilian Slender Opossum,Brazil
127,Marmosops pinheiroi,Pinheiro’s Slender Opossum,Brazil
128,Metachirus ,,
129,Metachirus nudicaudatus,Brown Four-eyed Opossum,French Guiana
130,Metachirus nudicaudatus,,French Guiana
131,Metachirus nudicaudatus,,
132,Metachirus nudicaudatus,,
133,Metachirus nudicaudatus,,
134,Metachirus nudicaudatus,,
135,Micoureus ,,
136,Micoureus alstoni,Alston’s Mouse Opossum,Costa Rica
137,Micoureus constantiae,White-bellied Woolly Mouse Opossum,Brazil
138,Micoureus demerarae,Woolly Mouse Opossum,Guyana
139,Micoureus demerarae,,Guyana
140,Micoureus demerarae,,
141,Micoureus demerarae,,
142,Micoureus demerarae,,
143,Micoureus demerarae,,
144,Micoureus paraguayanus,Tate’s Woolly Mouse Opossum,Paraguay
145,Micoureus paraguayanus,,Paraguay
146,Micoureus paraguayanus,,
147,Micoureus phaeus,Little Woolly Mouse Opossum,Colombia
148,Micoureus regina,Bare-tailed Woolly Mouse Opossum,Colombia
149,Micoureus regina,,Colombia
150,Micoureus regina,,
151,Micoureus regina,,
152,Monodelphis ,,
153,Monodelphis adusta,Sepia Short-tailed Opossum,Colombia
154,Monodelphis americana,Northern Three-striped Opossum,Brasilien
155,Monodelphis brevicaudata,Northern Red-sided Opossum,"In Americae australis silvis;"" restricted to Surinam by Matschie (1916)."
156,Monodelphis dimidiata,Yellow-sided Opossum,Uruguay
157,Monodelphis domestica,Gray Short-tailed Opossum,Brazil
158,Monodelphis emiliae,Emilia’s Short-tailed Opossum,Brazil
159,Monodelphis glirina,Amazonian Red-sided Opossum,Brazil
160,Monodelphis iheringi,Ihering’s Three-striped Opossum,"Rio Grande do Sul;"" identiﬁed as Brazil"
161,Monodelphis kunsi,Pygmy Short-tailed Opossum,Bolivia
162,Monodelphis maraxina,Marajó Short-tailed Opossum,Brazil
163,Monodelphis osgoodi,Osgood’s Short-tailed Opossum,Bolivia
164,Monodelphis palliolata,Hooded Red-sided Opossum,San Juan de Colon
165,Monodelphis rubida,Chestnut-striped Opossum,Brazil
166,Monodelphis scalops,Long-nosed Short-tailed Opossum,"Brazil;"" restricted to Rio de Janeiro"
167,Monodelphis sorex,Southern Red-sided Opossum,"Provinz Rio Grande do Sul;"" restricted to Brazil"
168,Monodelphis theresa,Southern Three-striped Opossum,Brazil
169,Monodelphis umbristriata,Red Three-striped Opossum,Brazil
170,Monodelphis unistriata,One-striped Opossum,Brazil
171,Philander ,,
172,Philander andersoni,Anderson’s Four-eyed Opossum,Perú
173,Philander frenatus,Southeastern Four-eyed Opossum,"Südamerica;"" restricted to Bahia"
174,Philander mcilhennyi,McIlhenny’s Four-eyed Opossum,Perú
175,Philander opossum,Gray Four-eyed Opossum,"America;"" restricted to Surinam by J. A. Allen (1900) and further restricted to Paramaribo"
176,Philander opossum,,"America;"" restricted to Surinam by J. A. Allen (1900) and further restricted to Paramaribo"
177,Philander opossum,,
178,Philander opossum,,
179,Philander opossum,,
180,Thylamys ,,
181,Thylamys cinderella,Cinderella Fat-tailed Mouse Opossum,Argentina
182,Thylamys elegans,Elegant Fat-tailed Mouse Opossum,Chile
183,Thylamys karimii,Karimi’s Fat-tailed Mouse Opossum,Brazil
184,Thylamys macrurus,Paraguayan Fat-tailed Mouse Opossum,"Sudamerica;"" restricted to Paraguay"
185,Thylamys pallidior,White-bellied Fat-tailed Mouse Opossum,Bolivia
186,Thylamys pusillus,Common Fat-tailed Mouse Opossum,Not stated; restricted to Paraguay
187,Thylamys sponsorius,Argentine Fat-tailed Mouse Opossum,Argentina
188,Thylamys tatei,Tate’s Fat-tailed Mouse Opossum,Chasquitambo 9710 m
189,Thylamys velutinus,Dwarf Fat-tailed Mouse Opossum,Brazil
190,Thylamys venustus,Buﬀ-bellied Fat-tailed Mouse Opossum,Bolivia
191,Tlacuatzin ,,
192,Tlacuatzin canescens,Gray Mouse Opossum,México
193,Tlacuatzin canescens,,México
194,Tlacuatzin canescens,,
195, ,,
196, ,,
197,Caenolestes ,,
198,Caenolestes caniventer,Gray-bellied Caenolestid,Ecuador
199,Caenolestes condorensis,Andean Caenolestid,Ecuador
200,Caenolestes convelatus,Northern Caenolestid,
201,Caenolestes convelatus,,
202,Caenolestes convelatus,,
203,Caenolestes fuliginosus,"Dusky Caenolestid
""Ecuador.""",
204,Caenolestes fuliginosus,"""Ecuador.""",
205,Caenolestes fuliginosus,,
206,Caenolestes fuliginosus,,
207,Lestoros ,,
208,Lestoros inca,Incan Caenolestid,Perú
209,Rhyncholestes ,,
210,Rhyncholestes raphanurus,Long-nosed Caenolestid,Chile
211,Rhyncholestes raphanurus,,Chile
212,Rhyncholestes raphanurus,,
213, ,,
214, ,,
215,Dromiciops ,,
216,Dromiciops gliroides,Monito del Monte,Chile
217, ,,
218, ,,
219,Notoryctes ,,
220,Notoryctes caurinus,Northern Marsupial Mole,Australia
221,Notoryctes typhlops,Southern Marsupial Mole,Australia
222, ,,
223, ,,
224,Thylacinus ,,
225,Thylacinus cynocephalus,Thylacine,Australia
226, ,,
227,Myrmecobius ,,
228,Myrmecobius fasciatus,Numbat,Australia
229,Myrmecobius fasciatus,,Australia
230,Myrmecobius fasciatus,,
231, ,,
232, ,,
233, ,,
234,Dasycercus ,,
235,Dasycercus cristicauda,Mulgara,Australia
236,Dasykaluta ,,
237,Dasykaluta rosamondae,Little Red Kaluta,Australia
238,Dasyuroides ,,
239,Dasyuroides byrnei,Kowari,Australia
240,Dasyurus ,,
241,Dasyurus albopunctatus,New Guinean Quoll,Indonesia
242,Dasyurus geoﬀroii,Western Quoll,Australia
243,Dasyurus hallucatus,Northern Quoll,Australia
244,Dasyurus maculatus,Tiger Quoll,Australia
245,Dasyurus spartacus,Bronze Quoll,Papua New Guinea
246,Dasyurus viverrinus,Eastern Quoll,Australia
247,Myoictis ,,
248,Myoictis melas,Three-striped Dasyure,
249,Myoictis wallacii,"Wallace’s Dasyure
Aru Isl.",
250,Neophascogale ,,
251,Neophascogale lorentzi,Speckled Dasyure,Indonesia
252,Parantechinus ,,
253,Parantechinus apicalis,Southern Dibbler,Australia
254,Phascolosorex ,,
255,Phascolosorex doriae,Red-bellied Marsupial Shrew,Indonesia
256,Phascolosorex dorsalis,Narrow-striped Marsupial Shrew,Indonesia
257,Phascolosorex dorsalis,,Indonesia
258,Phascolosorex dorsalis,,
259,Phascolosorex dorsalis,,
260,Pseudantechinus ,,
261,Pseudantechinus bilarni,Sandstone Dibbler,Australia
262,Pseudantechinus macdonnellensis,Fat-tailed False Antechinus,Australia
263,Pseudantechinus mimulus,Alexandria False Antechinus,Australia
264,Pseudantechinus ningbing,Ningbing False Antechinus,Australia
265,Pseudantechinus roryi,Rory Cooper’s False Antechinus,Australia
266,Pseudantechinus woolleyae,Woolley's False Antechinus,Australia
267,Sarcophilus ,,
268,Sarcophilus harrisii,"Tasmanian Devil
Tasmania.",
269,Sarcophilus harrisii,Tasmania.,
270,Sarcophilus harrisii,,
271, ,,
272,Antechinus ,,
273,Antechinus adustus,Tropical Antechinus,Australia
274,Antechinus agilis,Agile Antechinus,
275,Antechinus bellus,Fawn Antechinus,Australia
276,Antechinus ﬂavipes,Yellow-footed Antechinus,Australia
277,Antechinus ﬂavipes,,Australia
278,Antechinus ﬂavipes,,
279,Antechinus godmani,Atherton Antechinus,Australia
280,Antechinus leo,Cinnamon Antechinus,Australia
281,Antechinus minimus,Swamp Antechinus,Australia
282,Antechinus stuartii,Brown Antechinus,Australia
283,Antechinus subtropicus,Subtropical Antechinus,Australia
284,Antechinus swainsonii,Dusky Antechinus,Australia
285,Micromurexia ,,
286,Micromurexia habbema,Habbema Dasyure,Indonesia
287,Murexechinus ,,
288,Murexechinus melanurus,Black-tailed Dasyure,Papua New Guinea
289,Murexia ,,
290,Murexia longicaudata,Short-furred Dasyure,Indonesia
291,Paramurexia ,,
292,Paramurexia rothschildi,Broad-striped Dasyure,Papua New Guinea
293,Phascomurexia ,,
294,Phascomurexia naso,Long-nosed Dasyure,Indonesia
295,Phascogale ,,
296,Phascogale calura,Red-tailed Phascogale,Australia
297,Phascogale tapoatafa,Brush-tailed Phascogale,Australia
298, ,,
299, ,,
300,Antechinomys ,,
301,Antechinomys laniger,Kultarr,Australia
302,Ningaui ,,
303,Ningaui ridei,Wongai Ningaui,Australia
304,Ningaui timealeyi,Pilbara Ningaui,Australia
305,Ningaui yvonnae,Southern Ningaui,Mt. Manning Area
306,Sminthopsis ,,
307,Sminthopsis aitkeni,Kangaroo Island Dunnart,Australia
308,Sminthopsis archeri,Chestnut Dunnart,Papua New Guinea
309,Sminthopsis bindi,Kakadu Dunnart,Australia
310,Sminthopsis boullangerensis,Boullanger Island Dunnart,Australia
311,Sminthopsis butleri,Carpentarian Dunnart,Australia
312,Sminthopsis crassicaudata,Fat-tailed Dunnart,Australia
313,Sminthopsis dolichura,Little Long-tailed Dunnart,Western Australia
314,Sminthopsis douglasi,Julia Creek Dunnart,Australia
315,Sminthopsis fuliginosus,Sooty Dunnart,Western Australia
316,Sminthopsis gilberti,Gilbert's Dunnart,Western Australia
317,Sminthopsis granulipes,White-tailed Dunnart,Australia
318,Sminthopsis griseoventer,Gray-bellied Dunnart,Western Australia
319,Sminthopsis hirtipes,Hairy-footed Dunnart,Australia
320,Sminthopsis leucopus,White-footed Dunnart,Australia
321,Sminthopsis longicaudata,Long-tailed Dunnart,Australia
322,Sminthopsis macroura,Stripe-faced Dunnart,Australia
323,Sminthopsis murina,Slender-tailed Dunnart,Australia
324,Sminthopsis ooldea,Ooldea Dunnart,Australia
325,Sminthopsis psammophila,Sandhill Dunnart,Australia
326,Sminthopsis virginiae,Red-cheeked Dunnart,None given; Archer (1981:132) designated Australia
327,Sminthopsis virginiae,,None given; Archer (1981:132) designated Australia
328,Sminthopsis virginiae,,
329,Sminthopsis virginiae,,
330,Sminthopsis youngsoni,Lesser Hairy-footed Dunnart,Western Australia
331, ,,
332,Planigale ,,
333,Planigale gilesi,Paucident Planigale,Australia
334,Planigale ingrami,Long-tailed Planigale,Australia
335,Planigale ingrami,,Australia
336,Planigale ingrami,,
337,Planigale ingrami,,
338,Planigale maculata,Pygmy Planigale,Australia
339,Planigale maculata,,Australia
340,Planigale maculata,,
341,Planigale novaeguineae,New Guinean Planigale,Papua New Guinea
342,Planigale tenuirostris,Narrow-nosed Planigale,Australia
343, ,,
344, ,,
345,Macrotis ,,
346,Macrotis lagotis,Greater Bilby,Australia
347,Macrotis leucura,Lesser Bilby,
348, ,,
349,Chaeropus ,,
350,Chaeropus ecaudatus,Pig-footed Bandicoot,Australia
351, ,,
352, ,,
353,Isoodon ,,
354,Isoodon auratus,Golden Bandicoot,Australia
355,Isoodon auratus,,Australia
356,Isoodon auratus,,
357,Isoodon auratus,,
358,Isoodon macrourus,Northern Brown Bandicoot,Australia
359,Isoodon macrourus,,Australia
360,Isoodon macrourus,,
361,Isoodon obesulus,Southern Brown Bandicoot,Australia
362,Isoodon obesulus,,Australia
363,Isoodon obesulus,,
364,Perameles ,,
365,Perameles bougainville,Western Barred Bandicoot,Australia
366,Perameles eremiana,Desert Bandicoot,Australia
367,Perameles gunnii,Eastern Barred Bandicoot,Australia
368,Perameles nasuta,Long-nosed Bandicoot,Australia
369, ,,
370,Peroryctes ,,
371,Peroryctes broadbenti,Giant Bandicoot,Papua New Guinea
372,Peroryctes raﬀrayana,Raﬀray’s Bandicoot,Indonesia
373,Peroryctes raﬀrayana,,Indonesia
374,Peroryctes raﬀrayana,,
375, ,,
376,Echymipera ,,
377,Echymipera clara,Clara’s Echymipera,Indonesia
378,Echymipera davidi,David’s Echymipera,Papua New Guinea
379,Echymipera echinista,Menzies’ Echymipera,Papua New Guinea
380,Echymipera kalubu,Common Echymipera,Indonesia
381,Echymipera kalubu,,Indonesia
382,Echymipera kalubu,,
383,Echymipera kalubu,,
384,Echymipera kalubu,,
385,Echymipera rufescens,Long-nosed Echymipera,Indonesia
386,Echymiperinae ,,Indonesia
387,Echymiperinae ,,
388,Echymiperinae ,,
389,Echymiperinae ,Striped Bandicoot,Indonesia
390,Echymiperinae ,,Indonesia
391,Echymiperinae ,,
392,Echymiperinae ,,
393,Echymiperinae ,Mouse Bandicoot,Indonesia
394,Echymiperinae ,Papuan Bandicoot,Papua New Guinea
395,Echymiperinae ,,
396,Echymiperinae ,Seram Bandicoot,Indonesia
397, ,,
398, ,,
399, ,,
400, ,,
401, ,Koala,Australia
402, ,,
403, ,,
404, ,Northern Hairy-nosed Wombat,Australia
405, ,,Australia
406, ,,
407, ,,
408, ,Southern Hairy-nosed Wombat,Australia
409, ,,
410, ,Common Wombat,Australia
411, ,,
412, ,,
413, ,,
414, ,,
415, ,Mountain Pygmy Possum,Australia
416, ,,
417, ,Long-tailed Pygmy Possum,Indonesia
418, ,,Indonesia
419, ,,
420, ,Southwestern Pygmy Possum,Australia
421, ,,Australia
422, ,,
423, ,Tasmanian Pygmy Possum,Australia
424, ,Eastern Pygmy Possum,Australia
425, ,,Australia
426, ,,
427, ,,
428,Ailuropinae ,,
429,Ailuropinae ,,
430,Ailuropinae ,Talaud Bear Cuscus,Indonesia
431,Ailuropinae ,Sulawesi Bear Cuscus,Indonesia
432,Ailuropinae ,,Indonesia
433,Ailuropinae ,,
434,Ailuropinae ,,
435,Ailuropinae ,,
436,Phalangerinae ,,
437,Phalangerinae Phalangerini,,
438,Phalangerinae Phalangerini,,
439,Phalangerinae Phalangerini,Gebe Cuscus,Indonesia
440,Phalangerinae Phalangerini,Mountain Cuscus,Papua New Guinea
441,Phalangerinae Phalangerini,,Papua New Guinea
442,Phalangerinae Phalangerini,,
443,Phalangerinae Phalangerini,Ground Cuscus,Indonesia
444,Phalangerinae Phalangerini,,Indonesia
445,Phalangerinae Phalangerini,,
446,Phalangerinae Phalangerini,Eastern Common Cuscus,Papua New Guinea
447,Phalangerinae Phalangerini,Woodlark Cuscus,Papua New Guinea
448,Phalangerinae Phalangerini,Blue-eyed Cuscus,Indonesia
449,Phalangerinae Phalangerini,Telefomin Cuscus,Papua New Guinea
450,Phalangerinae Phalangerini,Southern Common Cuscus,Indonesia
451,Phalangerinae Phalangerini,,Indonesia
452,Phalangerinae Phalangerini,,
453,Phalangerinae Phalangerini,Northern Common Cuscus,Indonesia
454,Phalangerinae Phalangerini,,Indonesia
455,Phalangerinae Phalangerini,,
456,Phalangerinae Phalangerini,Ornate Cuscus,Indonesia: Bachian (= Bacan or Batjan) Isl.
457,Phalangerinae Phalangerini,Rothschild’s Cuscus,Moluccas
458,Phalangerinae Phalangerini,Silky Cuscus,Papua New Guinea
459,Phalangerinae Phalangerini,,Papua New Guinea
460,Phalangerinae Phalangerini,,
461,Phalangerinae Phalangerini,Stein’s Cuscus,Indonesia
462,Phalangerinae Phalangerini,,
463,Phalangerinae Phalangerini,Admiralty Island Cuscus,Papua New Guinea
464,Phalangerinae Phalangerini,Common Spotted Cuscus,Indonesia
465,Phalangerinae Phalangerini,,Indonesia
466,Phalangerinae Phalangerini,,
467,Phalangerinae Phalangerini,,
468,Phalangerinae Phalangerini,,
469,Phalangerinae Phalangerini,Waigeou Cuscus,Indonesia
470,Phalangerinae Phalangerini,Black-spotted Cuscus,Papua New Guinea
471,Phalangerinae Trichosurini,,
472,Phalangerinae Trichosurini,,
473,Phalangerinae Trichosurini,Sulawesi Dwarf Cuscus,Indonesia
474,Phalangerinae Trichosurini,,Indonesia
475,Phalangerinae Trichosurini,,
476,Phalangerinae Trichosurini,,
477,Phalangerinae Trichosurini,Banggai Cuscus,Indonesia: Peleng Isl.
478,Phalangerinae Trichosurini,,Indonesia: Peleng Isl.
479,Phalangerinae Trichosurini,,
480,Phalangerinae Trichosurini,,
481,Phalangerinae Trichosurini,Northern Brushtail,Australia
482,Phalangerinae Trichosurini,Short-eared Possum,Australia
483,Phalangerinae Trichosurini,Mountain Brushtail Possum,Australia
484,Phalangerinae Trichosurini,Coppery Brushtail,Australia
485,Phalangerinae Trichosurini,Common Brushtail,Australia
486,Phalangerinae Trichosurini,,
487,Phalangerinae Trichosurini,Scaly-tailed Possum,Australia
488, ,,
489, ,,
490,Hemibelideinae ,,
491,Hemibelideinae ,,
492,Hemibelideinae ,Lemur-like Ringtail,Australia
493,Hemibelideinae ,,
494,Hemibelideinae ,Greater Glider,Australia
495,Hemibelideinae ,,Australia
496,Hemibelideinae ,,
497,Pseudocheirinae ,,
498,Pseudocheirinae ,,
499,Pseudocheirinae ,Rock-haunting ringtail,Australia
500,Pseudocheirinae ,,
501,Pseudocheirinae ,Common Ringtail,Australia
502,Pseudocheirinae ,,Australia
503,Pseudocheirinae ,,
504,Pseudocheirinae ,,
505,Pseudocheirinae ,,
506,Pseudocheirinae ,,
507,Pseudocheirinae ,Lowland Ringtail,Indonesia
508,Pseudocheirinae ,,Indonesia
509,Pseudocheirinae ,,
510,Pseudocheirinae ,,
511,Pseudocheirinae ,,
512,Pseudocheirinae ,,
513,Pseudocheirinae ,Weyland Ringtail,Indonesia
514,Pseudocheirinae ,,Indonesia
515,Pseudocheirinae Pseudochirulus,,
516,Pseudocheirinae Pseudochirulus,Cinereous Ringtail,Australia
517,Pseudocheirinae Pseudochirulus,Painted Ringtail,Papua New Guinea
518,Pseudocheirinae Pseudochirulus,Herbert River Ringtail,Australia
519,Pseudocheirinae Pseudochirulus,Masked Ringtail,Papua New Guinea
520,Pseudocheirinae Pseudochirulus,Pygmy Ringtail,Indonesia
521,Pseudocheirinae Pseudochirulus,Vogelkop Ringtail,Indonesia
522,Pseudochiropsinae ,,
523,Pseudochiropsinae Pseudochirops,,
524,Pseudochiropsinae Pseudochirops,D’Albertis’ Ringtail,Indonesia
525,Pseudochiropsinae Pseudochirops,,Indonesia
526,Pseudochiropsinae Pseudochirops,,
527,Pseudochiropsinae Pseudochirops,,
528,Pseudochiropsinae Pseudochirops,Green Ringtail,Australia
